---1 touch blank area
01-29 10:17:59.674 31450-31450/com.sun.test.testviewtouch I/Test: ACTION_DOWN*********************start*********************
01-29 10:17:59.674 31450-31450/com.sun.test.testviewtouch I/Test: ------MainActivity------dispatchTouchEvent
01-29 10:17:59.676 31450-31450/com.sun.test.testviewtouch I/Test: ------MViewGroup------dispatchTouchEvent
01-29 10:17:59.676 31450-31450/com.sun.test.testviewtouch I/Test: ------MViewGroup------onInterceptTouchEvent
01-29 10:17:59.676 31450-31450/com.sun.test.testviewtouch I/Test: ------MViewGroup------onInterceptTouchEvent---return:false
01-29 10:17:59.677 31450-31450/com.sun.test.testviewtouch I/Test: ------MViewGroup------onTouchEvent
01-29 10:17:59.678 31450-31450/com.sun.test.testviewtouch I/Test: ------MViewGroup------onTouchEvent---return:false
01-29 10:17:59.678 31450-31450/com.sun.test.testviewtouch I/Test: ------MViewGroup------dispatchTouchEvent---return:false
01-29 10:17:59.683 31450-31450/com.sun.test.testviewtouch I/Test: ------MainActivity------onTouchEvent
01-29 10:17:59.683 31450-31450/com.sun.test.testviewtouch I/Test: ------MainActivity------onTouchEvent---return:false
01-29 10:17:59.684 31450-31450/com.sun.test.testviewtouch I/Test: ------MainActivity------dispatchTouchEvent---return:false
01-29 10:17:59.684 31450-31450/com.sun.test.testviewtouch I/Test: ACTION_DOWN**********************end**********************
01-29 10:17:59.715 31450-31450/com.sun.test.testviewtouch I/Test: ACTION_UP*********************start*********************
01-29 10:17:59.715 31450-31450/com.sun.test.testviewtouch I/Test: ------MainActivity------dispatchTouchEvent
01-29 10:17:59.715 31450-31450/com.sun.test.testviewtouch I/Test: ------MainActivity------onTouchEvent
01-29 10:17:59.715 31450-31450/com.sun.test.testviewtouch I/Test: ------MainActivity------onTouchEvent---return:false
01-29 10:17:59.715 31450-31450/com.sun.test.testviewtouch I/Test: ------MainActivity------dispatchTouchEvent---return:false
01-29 10:17:59.715 31450-31450/com.sun.test.testviewtouch I/Test: ACTION_UP**********************end**********************

---2 touch unclickable childview
01-29 10:18:36.887 31450-31450/com.sun.test.testviewtouch I/Test: ACTION_DOWN*********************start*********************
01-29 10:18:36.888 31450-31450/com.sun.test.testviewtouch I/Test: ------MainActivity------dispatchTouchEvent
01-29 10:18:36.888 31450-31450/com.sun.test.testviewtouch I/Test: ------MViewGroup------dispatchTouchEvent
01-29 10:18:36.888 31450-31450/com.sun.test.testviewtouch I/Test: ------MViewGroup------onInterceptTouchEvent
01-29 10:18:36.888 31450-31450/com.sun.test.testviewtouch I/Test: ------MViewGroup------onInterceptTouchEvent---return:false
01-29 10:18:36.888 31450-31450/com.sun.test.testviewtouch I/Test: ------MView------dispatchTouchEvent
01-29 10:18:36.888 31450-31450/com.sun.test.testviewtouch I/Test: ------MView------onTouchEvent
01-29 10:18:36.888 31450-31450/com.sun.test.testviewtouch I/Test: ------MView------onTouchEvent---return:false
01-29 10:18:36.888 31450-31450/com.sun.test.testviewtouch I/Test: ------MView------dispatchTouchEvent---return:false
01-29 10:18:36.889 31450-31450/com.sun.test.testviewtouch I/Test: ------MViewGroup------onTouchEvent
01-29 10:18:36.889 31450-31450/com.sun.test.testviewtouch I/Test: ------MViewGroup------onTouchEvent---return:false
01-29 10:18:36.889 31450-31450/com.sun.test.testviewtouch I/Test: ------MViewGroup------dispatchTouchEvent---return:false
01-29 10:18:36.890 31450-31450/com.sun.test.testviewtouch I/Test: ------MainActivity------onTouchEvent
01-29 10:18:36.890 31450-31450/com.sun.test.testviewtouch I/Test: ------MainActivity------onTouchEvent---return:false
01-29 10:18:36.890 31450-31450/com.sun.test.testviewtouch I/Test: ------MainActivity------dispatchTouchEvent---return:false
01-29 10:18:36.890 31450-31450/com.sun.test.testviewtouch I/Test: ACTION_DOWN**********************end**********************
01-29 10:18:36.937 31450-31450/com.sun.test.testviewtouch I/Test: ACTION_UP*********************start*********************
01-29 10:18:36.938 31450-31450/com.sun.test.testviewtouch I/Test: ------MainActivity------dispatchTouchEvent
01-29 10:18:36.938 31450-31450/com.sun.test.testviewtouch I/Test: ------MainActivity------onTouchEvent
01-29 10:18:36.938 31450-31450/com.sun.test.testviewtouch I/Test: ------MainActivity------onTouchEvent---return:false
01-29 10:18:36.938 31450-31450/com.sun.test.testviewtouch I/Test: ------MainActivity------dispatchTouchEvent---return:false
01-29 10:18:36.938 31450-31450/com.sun.test.testviewtouch I/Test: ACTION_UP**********************end**********************

---3 touch clickable childview
01-29 10:20:04.109 779-779/com.sun.test.testviewtouch I/Test: ACTION_DOWN*********************start*********************
01-29 10:20:04.109 779-779/com.sun.test.testviewtouch I/Test: ------MainActivity------dispatchTouchEvent
01-29 10:20:04.109 779-779/com.sun.test.testviewtouch I/Test: ------MViewGroup------dispatchTouchEvent
01-29 10:20:04.109 779-779/com.sun.test.testviewtouch I/Test: ------MViewGroup------onInterceptTouchEvent
01-29 10:20:04.109 779-779/com.sun.test.testviewtouch I/Test: ------MViewGroup------onInterceptTouchEvent---return:false
01-29 10:20:04.109 779-779/com.sun.test.testviewtouch I/Test: ------MView------dispatchTouchEvent
01-29 10:20:04.110 779-779/com.sun.test.testviewtouch I/Test: ------MView------onTouchEvent
01-29 10:20:04.110 779-779/com.sun.test.testviewtouch I/Test: ------MView------onTouchEvent---return:true
01-29 10:20:04.110 779-779/com.sun.test.testviewtouch I/Test: ------MView------dispatchTouchEvent---return:true
01-29 10:20:04.110 779-779/com.sun.test.testviewtouch I/Test: ------MViewGroup------dispatchTouchEvent---return:true
01-29 10:20:04.110 779-779/com.sun.test.testviewtouch I/Test: ------MainActivity------dispatchTouchEvent---return:true
01-29 10:20:04.110 779-779/com.sun.test.testviewtouch I/Test: ACTION_DOWN**********************end**********************
01-29 10:20:04.182 779-779/com.sun.test.testviewtouch I/Test: ACTION_UP*********************start*********************
